
Pro Inside global      Inside local       Outside local      Outside global
tcp 172.25.40.31:51179 172.20.43.216:51179 130.206.192.24:80 130.206.192.24:80
tcp 172.25.40.31:50122 172.20.43.216:50122 172.25.1.141:443  172.25.1.141:443
tcp 172.25.40.31:50804 172.20.43.216:50804 159.8.37.102:80   159.8.37.102:80
tcp 172.25.40.31:50805 172.20.43.216:50805 159.8.37.102:80   159.8.37.102:80
tcp 172.25.40.31:50806 172.20.43.216:50806 159.8.37.102:80   159.8.37.102:80
tcp 172.25.40.31:50811 172.20.43.216:50811 159.8.37.102:80   159.8.37.102:80
tcp 172.25.40.31:50227 172.20.43.217:50227 65.52.108.29:443  65.52.108.29:443
tcp 172.25.40.31:50229 172.20.43.217:50229 65.52.108.29:443  65.52.108.29:443
tcp 172.25.40.31:50450 172.20.43.216:50450 172.25.32.101:443 172.25.32.101:443
tcp 172.25.40.31:50867 172.20.43.216:50867 216.58.210.166:443 216.58.210.166:443
tcp 172.25.40.31:50868 172.20.43.216:50868 216.58.210.166:443 216.58.210.166:443
udp 172.25.40.31:54992 172.20.43.227:54992 172.25.40.52:53   172.25.40.52:53
tcp 172.25.40.31:1200  10.1.0.18:49882    162.125.18.133:443 162.125.18.133:443
tcp 172.25.40.31:50435 172.20.43.227:50435 176.32.108.183:443 176.32.108.183:443
